time,baseline_electricity_kwh,baseline_gas_kwh,upgrade_electricity_kwh,upgrade_gas_kwh,incremental_electricity_kwh,incremental_gas_kwh,incremental_electric_unitized
2018-01-08T01:00:00Z,539534.6916443466,7484534.283659827,1200362.8915049848,5703923.422724398,660828.1998606382,-1780610.860935429,2.75418829725166e-4
2018-01-08T02:00:00Z,532982.9226897988,6847840.481036171,1269445.350904075,4752761.769409233,736462.4282142762,-2095078.7116269385,3.0694153209276777e-4
2018-01-08T03:00:00Z,521407.07120321644,6406927.285190077,1346183.9035304384,3966886.470050471,824776.832327222,-2440040.8151396057,3.4374905609642326e-4
2018-01-08T04:00:00Z,484884.13828226447,5907493.408340263,1277523.0401696656,3479782.9172586175,792638.9018874011,-2427710.4910816457,3.3035466524961786e-4
2018-01-08T05:00:00Z,478230.43946567026,5496194.773638152,1243335.9158200754,3088343.782459409,765105.4763544052,-2407850.9911787426,3.188793319629603e-4
2018-01-08T06:00:00Z,489030.4634131578,5303431.01316036,1243242.8165153842,2876237.7485460383,754212.3531022265,-2427193.2646143218,3.143393149679233e-4
2018-01-08T07:00:00Z,542502.011217454,5575657.02632787,1319198.4771567653,3107716.3722426076,776696.4659393113,-2467940.654085262,3.237102044764285e-4
2018-01-08T08:00:00Z,612715.5388629719,5977945.420690313,1424990.8249911098,3501496.7424435224,812275.2861281378,-2476448.6782467905,3.385386833783205e-4
2018-01-08T09:00:00Z,672476.2096158976,6229619.242382953,1469207.6963851424,3850183.837770974,796731.4867692448,-2379435.404611979,3.320603656706138e-4
2018-01-08T10:00:00Z,661020.2014077117,6362213.482258045,1354117.7808619505,4314442.395900132,693097.5794542388,-2047771.086357913,2.8886800572204525e-4
2018-01-08T11:00:00Z,630357.4786495481,6495216.327345208,1342197.2853368619,4410053.427544045,711839.8066873137,-2085162.899801163,2.966793586456421e-4
2018-01-08T12:00:00Z,580056.3532375353,6454352.256907087,1386801.1874447032,4063211.4147096863,806744.8342071678,-2391140.8421974005,3.362337112293624e-4
2018-01-08T13:00:00Z,493591.8247397613,6217061.249948604,1310325.5331259004,3713617.5648191394,816733.7083861391,-2503443.6851294646,3.403968568657387e-4
2018-01-08T14:00:00Z,372829.1591713588,6021170.54306956,1205251.2357553826,3405071.6059525367,832422.0765840238,-2616098.9371170234,3.469354277231418e-4
2018-01-08T15:00:00Z,319797.37312336976,5782404.23911665,1139151.9909326376,3146303.241320588,819354.6178092678,-2636100.997796062,3.4148919494435883e-4
2018-01-08T16:00:00Z,294008.3611205566,5576497.528580064,1104582.1249970966,2943169.1456296514,810573.76387654,-2633328.3829504126,3.3782952588869576e-4
2018-01-08T17:00:00Z,283771.7267323538,5533928.274501767,1084146.7014665017,2889281.5419654287,800374.9747341479,-2644646.7325363383,3.335788922583456e-4
2018-01-08T18:00:00Z,281055.9518930608,5462551.983260853,1071760.4571163165,2834503.3031619703,790704.5052232557,-2628048.680098883,3.295484507666773e-4
2018-01-08T19:00:00Z,292014.92587294837,5503160.804840476,1078345.2775855372,2850585.386151395,786330.3517125888,-2652575.4186890814,3.277253986614551e-4
2018-01-08T20:00:00Z,320732.9075997809,5717379.888182976,1115019.08688645,3032723.1928459755,794286.179286669,-2684656.695337001,3.3104121466387523e-4
2018-01-08T21:00:00Z,393192.92903655476,5913721.199506885,1184708.8363299668,3233656.839295857,791515.907293412,-2680064.3602110283,3.29886625512619e-4
2018-01-08T22:00:00Z,448442.1941873443,5923090.133998518,1233023.0863369782,3262810.813782953,784580.892149634,-2660279.3202155647,3.2699626194243776e-4
